"","Values","Names","Ranking"
"1",10.1206896551724,"Sport",0
"2",10.4478947368421,"Stress",0
"3",10.68,"Ernährung",0
"4",10.9714285714286,"Sucht",0
"5",10.2852380952381,"Arbeitsunfälle",0
"6",10.8773684210526,"Atmosphäre",0
"7",12.12,"Weiterbildungen",5
"8",11.01,"Ergonomie",0
"9",11.3173684210526,"IKT",1
"10",11.1125,"Technostress",0
"11",11.7136842105263,"Familie",3
"12",10.28,"Eltern",0
"13",10.4633333333333,"Kinderbetreuung",0
"14",11.54,"Frauen",2
"15",10.3733333333333,"WLB",0
